"loc_rowid","pl_name","hostname","pl_letter","sy_snum","sy_pnum","sy_mnum","discoverymethod","disc_year","disc_facility","pl_controv_flag","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim"
"3505","Kepler-317 c","Kepler-317","c","1","2","0","Transit","2014","Kepler","0","8.77501","0.000113","-0.000113","0","1.72","0.79","-0.79","0"
"3506","Kepler-318 b","Kepler-318","b","1","2","0","Transit","2014","Kepler","0","4.662715","0.000003","-0.000003","0","4.71","0.83","-0.83","0"
"3507","Kepler-318 c","Kepler-318","c","1","2","0","Transit","2014","Kepler","0","11.815007","0.00002","-0.00002","0","3.68","0.65","-0.65","0"
"3508","Kepler-319 b","Kepler-319","b","1","3","0","Transit","2014","Kepler","0","4.362705","0.000009","-0.000009","0","1.63","0.23","-0.23","0"
"3509","Kepler-319 c","Kepler-319","c","1","3","0","Transit","2014","Kepler","0","6.941357","0.000007","-0.000007","0","2.63","0.37","-0.37","0"
"3510","Kepler-319 d","Kepler-319","d","1","3","0","Transit","2014","Kepler","0","31.781925","0.000105","-0.000105","0","2.29","0.35","-0.35","0"
"3511","Kepler-32 b","Kepler-32","b","1","5","0","Transit","2011","Kepler","0","5.90124","0.0001","-0.0001","0","2.2","0.2","-0.2","0"
"3512","Kepler-32 c","Kepler-32","c","1","5","0","Transit","2011","Kepler","0","8.7522","0.0003","-0.0003","0","2","0.2","-0.2","0"
"3513","Kepler-32 d","Kepler-32","d","1","5","0","Transit","2012","Kepler","0","22.7802","0.0005","-0.0005","0","2.7","0.2","-0.2","0"
"3514","Kepler-32 e","Kepler-32","e","1","5","0","Transit","2012","Kepler","0","2.896","0.0003","-0.0003","0","1.5","0.1","-0.1","0"
"3515","Kepler-32 f","Kepler-32","f","1","5","0","Transit","2012","Kepler","0","0.74296","0.00007","-0.00007","0","0.82","0.07","-0.07","0"
"3516","Kepler-320 b","Kepler-320","b","1","2","0","Transit","2014","Kepler","0","8.371554","0.000162","-0.000162","0","1.14","0.54","-0.54","0"
"3517","Kepler-320 c","Kepler-320","c","1","2","0","Transit","2014","Kepler","0","17.934937","0.000281","-0.000281","0","1.37","0.64","-0.64","0"
"3518","Kepler-321 b","Kepler-321","b","1","2","0","Transit","2014","Kepler","0","4.915379","0.00001","-0.00001","0","1.77","0.34","-0.34","0"
"3519","Kepler-321 c","Kepler-321","c","1","2","0","Transit","2014","Kepler","0","13.093921","0.000024","-0.000024","0","2.32","0.45","-0.45","0"
"3520","Kepler-322 b","Kepler-322","b","1","2","0","Transit","2014","Kepler","0","1.653888","0.000006","-0.000006","0","1.01","0.11","-0.11","0"
"3521","Kepler-322 c","Kepler-322","c","1","2","0","Transit","2014","Kepler","0","4.337234","0.000009","-0.000009","0","1.67","0.18","-0.18","0"
"3522","Kepler-323 b","Kepler-323","b","1","2","0","Transit","2014","Kepler","0","1.678327","0.000003","-0.000003","0","1.43","0.28","-0.28","0"
"3523","Kepler-323 c","Kepler-323","c","1","2","0","Transit","2014","Kepler","0","3.553822","0.000008","-0.000008","0","1.63","0.32","-0.32","0"
"3524","Kepler-324 b","Kepler-324","b","1","4","0","Transit","2014","Kepler","0","4.385315","0.000025","-0.000025","0","1.14","0.11","-0.11","0"
"3525","Kepler-324 c","Kepler-324","c","1","4","0","Transit","2014","Kepler","0","51.805612","0.000314","-0.000314","0","3.15","0.33","-0.33","0"
"3526","Kepler-324 e","Kepler-324","e","1","4","0","Transit","2021","Kepler","0","13.97939968","","","0","2.039","","","0"
"3527","Kepler-325 b","Kepler-325","b","1","3","0","Transit","2014","Kepler","0","4.544439","0.000008","-0.000008","0","2.91","1.44","-1.44","0"
"3528","Kepler-325 c","Kepler-325","c","1","3","0","Transit","2014","Kepler","0","12.762172","0.000064","-0.000064","0","2.54","1.26","-1.26","0"
"3529","Kepler-325 d","Kepler-325","d","1","3","0","Transit","2014","Kepler","0","38.715185","0.00022","-0.00022","0","2.79","1.39","-1.39","0"
"3530","Kepler-326 b","Kepler-326","b","1","3","0","Transit","2014","Kepler","0","2.248329","0.000004","-0.000004","0","1.52","0.16","-0.16","0"
"3531","Kepler-326 c","Kepler-326","c","1","3","0","Transit","2014","Kepler","0","4.580358","0.00001","-0.00001","0","1.4","0.1","-0.1","0"
"3532","Kepler-326 d","Kepler-326","d","1","3","0","Transit","2014","Kepler","0","6.766888","0.000023","-0.000023","0","1.21","0.09","-0.09","0"
"3533","Kepler-327 b","Kepler-327","b","1","3","0","Transit","2014","Kepler","0","2.549575","0.000006","-0.000006","0","1.11","0.05","-0.05","0"
"3534","Kepler-327 c","Kepler-327","c","1","3","0","Transit","2014","Kepler","0","5.212333","0.000019","-0.000019","0","1.03","0.05","-0.05","0"
"3535","Kepler-327 d","Kepler-327","d","1","3","0","Transit","2014","Kepler","0","13.969457","0.000031","-0.000031","0","1.73","0.1","-0.1","0"
"3536","Kepler-328 b","Kepler-328","b","1","2","0","Transit","2013","Kepler","0","34.921","","","0","2.3","0.96","-0.23","0"
"3537","Kepler-328 c","Kepler-328","c","1","2","0","Transit","2013","Kepler","0","71.312","","","0","5.4","2.24","-0.54","0"
"3538","Kepler-329 b","Kepler-329","b","1","2","0","Transit","2014","Kepler","0","7.416397","0.000046","-0.000046","0","1.4","0.25","-0.25","0"
"3539","Kepler-329 c","Kepler-329","c","1","2","0","Transit","2014","Kepler","0","18.684737","0.000089","-0.000089","0","1.93","0.29","-0.29","0"
"3540","Kepler-33 b","Kepler-33","b","1","5","0","Transit","2011","Kepler","0","5.66793","0.00012","-0.00012","0","1.74","0.18","-0.18","0"
"3541","Kepler-33 c","Kepler-33","c","1","5","0","Transit","2011","Kepler","0","13.17562","0.00014","-0.00014","0","3.2","0.3","-0.3","0"
"3542","Kepler-33 d","Kepler-33","d","1","5","0","Transit","2011","Kepler","0","21.77596","0.00011","-0.00011","0","5.35","0.49","-0.49","0"
"3543","Kepler-33 e","Kepler-33","e","1","5","0","Transit","2011","Kepler","0","31.7844","0.00039","-0.00039","0","4.02","0.38","-0.38","0"
"3544","Kepler-33 f","Kepler-33","f","1","5","0","Transit","2011","Kepler","0","41.02902","0.00042","-0.00042","0","4.46","0.41","-0.41","0"
"3545","Kepler-330 b","Kepler-330","b","1","2","0","Transit","2014","Kepler","0","8.25978","0.000076","-0.000076","0","1.35","0.53","-0.53","0"
"3546","Kepler-330 c","Kepler-330","c","1","2","0","Transit","2014","Kepler","0","15.955387","0.000076","-0.000076","0","1.95","0.72","-0.72","0"
